2024-11-19 04:08:49,293|line:233| processing article 39840303
2024-11-19 04:08:54,039|line:503| ==================================================2024-11-19 12:08==================================================
2024-11-19 04:08:54,039|line:515| https://t.bilibili.com/990679454364729364
2024-11-19 04:08:57,740|line:335| =========此为子动态=========
2024-11-19 04:09:01,378|line:384| *************原动态处理开始***************
2024-11-19 04:09:07,654|line:471| 转发成功 1001375692412157989
2024-11-19 04:09:11,421|line:490| 评论发送成功
2024-11-19 04:09:15,032|line:207| 风控校验失败
2024-11-19 04:09:17,528|line:207| 风控校验失败
2024-11-19 04:09:22,215|line:207| 风控校验失败
2024-11-19 04:09:23,762|line:207| 风控校验失败
2024-11-19 04:09:25,237|line:207| 风控校验失败
2024-11-19 04:09:25,237|line:424| check接口被ban
2024-11-19 04:09:28,837|line:432| 关注 ==== 670406059 已经关注用户，无法重复关注
2024-11-19 04:09:32,529|line:499| 动态-点赞 0
2024-11-19 04:09:32,529|line:394| *************原动态处理完成***************
2024-11-19 04:09:35,278|line:359| *********子动态开始*********
2024-11-19 04:09:46,201|line:471| 转发成功 1001375859942096901
2024-11-19 04:09:49,938|line:490| 评论发送成功
2024-11-19 04:09:58,029|line:432| 关注 ==== 242136088 已经关注用户，无法重复关注
2024-11-19 04:09:58,029|line:373| ----完成一个子动态----
2024-11-19 04:10:06,946|line:471| 转发成功 1001375945828859922
2024-11-19 04:10:10,804|line:490| 评论发送成功
2024-11-19 04:10:18,769|line:432| 关注 ==== 628831867 已经关注用户，无法重复关注
2024-11-19 04:10:18,769|line:373| ----完成一个子动态----
2024-11-19 04:10:29,582|line:471| 转发成功 1001376044596330518
2024-11-19 04:10:33,426|line:490| 评论发送成功
2024-11-19 04:10:38,433|line:432| 关注 ==== 346469145 已经关注用户，无法重复关注
2024-11-19 04:10:38,433|line:373| ----完成一个子动态----
2024-11-19 04:10:50,479|line:471| 转发成功 1001376134782255104
2024-11-19 04:10:54,231|line:490| 评论发送成功
2024-11-19 04:11:01,264|line:432| 关注 ==== 493230543 已经关注用户，无法重复关注
2024-11-19 04:11:01,264|line:373| ----完成一个子动态----
2024-11-19 04:11:01,264|line:378| *********子动态结束*********
2024-11-19 04:11:02,265|line:515| https://t.bilibili.com/998402509907165188
2024-11-19 04:11:05,806|line:340| =========此为源动态=========
2024-11-19 04:11:07,549|line:359| *********子动态开始*********
2024-11-19 04:11:07,549|line:378| *********子动态结束*********
2024-11-19 04:11:07,549|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-11-19 04:11:15,273|line:471| 转发成功 1001376242162728966
2024-11-19 04:11:19,043|line:490| 评论发送成功
2024-11-19 04:11:22,550|line:432| 关注 ==== 1309317001 已经关注用户，无法重复关注
2024-11-19 04:11:26,219|line:499| 动态-点赞 0
2024-11-19 04:11:28,219|line:515| https://t.bilibili.com/989962757439750160
2024-11-19 04:11:29,724|line:522| 官方 或 预约 OUT！
2024-11-19 04:11:29,725|line:515| https://t.bilibili.com/994323442054463492
2024-11-19 04:11:32,243|line:522| 官方 或 预约 OUT！
2024-11-19 04:11:32,243|line:515| https://t.bilibili.com/990712104684093477
2024-11-19 04:11:36,749|line:340| =========此为源动态=========
2024-11-19 04:11:38,378|line:359| *********子动态开始*********
2024-11-19 04:11:38,378|line:378| *********子动态结束*********
2024-11-19 04:11:38,379|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-11-19 04:11:49,116|line:471| 转发成功 1001376383923912724
2024-11-19 04:11:52,877|line:490| 评论发送成功
2024-11-19 04:11:56,399|line:432| 关注 ==== 397339091 0
2024-11-19 04:11:59,862|line:499| 动态-点赞 0
2024-11-19 04:12:00,862|line:515| https://t.bilibili.com/999969468599762965
2024-11-19 04:12:00,862|line:517| 已有
2024-11-19 04:12:00,862|line:515| https://t.bilibili.com/994393458601885704
2024-11-19 04:12:04,391|line:340| =========此为源动态=========
2024-11-19 04:12:06,216|line:359| *********子动态开始*********
2024-11-19 04:12:15,118|line:471| 转发成功 1001376495576285221
2024-11-19 04:12:18,919|line:490| 评论发送成功
2024-11-19 04:12:25,959|line:432| 关注 ==== 43222392 已经关注用户，无法重复关注
2024-11-19 04:12:25,959|line:373| ----完成一个子动态----
2024-11-19 04:12:35,798|line:471| 转发成功 1001376585787375618
2024-11-19 04:12:39,849|line:490| 评论发送成功
2024-11-19 04:12:46,819|line:432| 关注 ==== 1494786563 已经关注用户，无法重复关注
