2024-10-25 16:31:48,906|line:233| processing article 39578581
2024-10-25 16:31:50,810|line:502| ==================================================2024-10-26 00:31==================================================
2024-10-25 16:31:50,810|line:514| https://t.bilibili.com/991074861934706697
2024-10-25 16:31:55,336|line:339| =========此为源动态=========
2024-10-25 16:31:58,010|line:358| *********子动态开始*********
2024-10-25 16:31:58,010|line:377| *********子动态结束*********
2024-10-25 16:31:58,011|line:532| -=-=-=-=处理回最初的动态-=-=-=-=
2024-10-25 16:32:06,776|line:470| 转发成功 992290028395692057
2024-10-25 16:32:10,441|line:489| 评论发送成功
2024-10-25 16:32:13,063|line:543| not all arguments converted during string formatting
2024-10-25 16:32:13,063|line:544| error line:537
2024-10-25 16:32:15,064|line:514| https://t.bilibili.com/991393471171395620
2024-10-25 16:32:19,506|line:339| =========此为源动态=========
2024-10-25 16:32:24,151|line:358| *********子动态开始*********
2024-10-25 16:32:24,151|line:377| *********子动态结束*********
2024-10-25 16:32:24,151|line:532| -=-=-=-=处理回最初的动态-=-=-=-=
2024-10-25 16:32:36,660|line:470| 转发成功 992290157271973897
2024-10-25 16:32:40,398|line:489| 评论发送成功
2024-10-25 16:32:42,826|line:543| not all arguments converted during string formatting
2024-10-25 16:32:42,826|line:544| error line:537
2024-10-25 16:32:46,827|line:514| https://t.bilibili.com/991707527762673669
2024-10-25 16:32:49,419|line:334| =========此为子动态=========
2024-10-25 16:32:52,951|line:383| *************原动态处理开始***************
2024-10-25 16:32:58,894|line:470| 转发成功 992290251726651425
2024-10-25 16:33:02,478|line:489| 评论发送成功
2024-10-25 16:33:06,918|line:344| not all arguments converted during string formatting
2024-10-25 16:33:06,918|line:345| error line:336
2024-10-25 16:33:06,918|line:528| *#*#*#*#*#*#*#*#*#*原动态处理失败*#*#*#*#*#*#*#*#*#
2024-10-25 16:33:06,919|line:514| https://t.bilibili.com/991411776315719705
2024-10-25 16:33:06,919|line:516| 已有
2024-10-25 16:33:06,919|line:514| https://t.bilibili.com/991085809802149888
2024-10-25 16:33:08,517|line:339| =========此为源动态=========
2024-10-25 16:33:10,195|line:358| *********子动态开始*********
2024-10-25 16:33:10,195|line:377| *********子动态结束*********
2024-10-25 16:33:10,195|line:532| -=-=-=-=处理回最初的动态-=-=-=-=
2024-10-25 16:33:18,719|line:470| 转发成功 992290337661648918
2024-10-25 16:33:22,394|line:489| 评论发送成功
2024-10-25 16:33:26,888|line:543| not all arguments converted during string formatting
2024-10-25 16:33:26,888|line:544| error line:537
2024-10-25 16:33:27,888|line:514| https://t.bilibili.com/991725150001954853
2024-10-25 16:33:32,291|line:521| 官方 或 预约 OUT！
2024-10-25 16:33:32,291|line:514| https://t.bilibili.com/991398041039667222
2024-10-25 16:33:33,635|line:339| =========此为源动态=========
2024-10-25 16:33:34,973|line:358| *********子动态开始*********
2024-10-25 16:33:34,973|line:377| *********子动态结束*********
2024-10-25 16:33:34,973|line:532| -=-=-=-=处理回最初的动态-=-=-=-=
2024-10-25 16:33:46,563|line:470| 转发成功 992290457901858838
2024-10-25 16:33:50,220|line:489| 评论发送成功
2024-10-25 16:33:53,695|line:543| not all arguments converted during string formatting
2024-10-25 16:33:53,695|line:544| error line:537
2024-10-25 16:33:54,696|line:514| https://t.bilibili.com/991835049615687684
2024-10-25 16:33:58,045|line:521| 官方 或 预约 OUT！
2024-10-25 16:33:58,045|line:514| https://t.bilibili.com/991029541387370535
2024-10-25 16:33:58,046|line:516| 已有
2024-10-25 16:33:58,046|line:514| https://t.bilibili.com/991485224566128646
2024-10-25 16:33:59,371|line:339| =========此为源动态=========
2024-10-25 16:34:03,718|line:358| *********子动态开始*********
2024-10-25 16:34:03,718|line:377| *********子动态结束*********
2024-10-25 16:34:03,718|line:532| -=-=-=-=处理回最初的动态-=-=-=-=
2024-10-25 16:34:14,337|line:470| 转发成功 992290578142068740
2024-10-25 16:34:17,952|line:489| 评论发送成功
2024-10-25 16:34:21,595|line:543| not all arguments converted during string formatting
2024-10-25 16:34:21,596|line:544| error line:537
2024-10-25 16:34:23,596|line:514| https://t.bilibili.com/991470428375482393
2024-10-25 16:34:26,929|line:521| 官方 或 预约 OUT！
2024-10-25 16:34:26,929|line:514| https://t.bilibili.com/991439298444132355
2024-10-25 16:34:28,254|line:521| 官方 或 预约 OUT！
2024-10-25 16:34:28,254|line:514| https://t.bilibili.com/991808773045616672
2024-10-25 16:34:29,600|line:521| 官方 或 预约 OUT！
2024-10-25 16:34:29,601|line:514| https://t.bilibili.com/991740040644132884
2024-10-25 16:34:31,923|line:339| =========此为源动态=========
2024-10-25 16:34:34,295|line:358| *********子动态开始*********
2024-10-25 16:34:34,295|line:377| *********子动态结束*********
2024-10-25 16:34:34,295|line:532| -=-=-=-=处理回最初的动态-=-=-=-=
2024-10-25 16:34:43,081|line:470| 转发成功 992290698406395909
2024-10-25 16:34:46,861|line:489| 评论发送成功
2024-10-25 16:34:50,322|line:543| not all arguments converted during string formatting
2024-10-25 16:34:50,323|line:544| error line:537
2024-10-25 16:34:51,323|line:514| https://t.bilibili.com/991424914609143856
2024-10-25 16:34:55,676|line:521| 官方 或 预约 OUT！
2024-10-25 16:34:55,676|line:514| https://t.bilibili.com/991446816800112640
2024-10-25 16:35:00,019|line:339| =========此为源动态=========
2024-10-25 16:35:01,562|line:358| *********子动态开始*********
2024-10-25 16:35:01,562|line:377| *********子动态结束*********
2024-10-25 16:35:01,562|line:532| -=-=-=-=处理回最初的动态-=-=-=-=
2024-10-25 16:35:11,260|line:470| 转发成功 992290822992953350
2024-10-25 16:35:14,986|line:489| 评论发送成功
2024-10-25 16:35:19,513|line:543| not all arguments converted during string formatting
2024-10-25 16:35:19,513|line:544| error line:537
2024-10-25 16:35:23,514|line:514| https://t.bilibili.com/991462680254480390
2024-10-25 16:35:28,062|line:339| =========此为源动态=========
2024-10-25 16:35:29,854|line:358| *********子动态开始*********
2024-10-25 16:35:48,471|line:470| 转发成功 992290981883674629
2024-10-25 16:35:52,104|line:489| 评论发送成功
2024-10-25 16:35:56,989|line:375| not all arguments converted during string formatting
2024-10-25 16:35:56,990|line:376| error line:370
2024-10-25 16:36:07,801|line:470| 转发成功 992291063511121942
2024-10-25 16:36:11,424|line:489| 评论发送成功
2024-10-25 16:36:16,316|line:375| not all arguments converted during string formatting
2024-10-25 16:36:16,316|line:376| error line:370
2024-10-25 16:36:26,008|line:470| 转发成功 992291140822630416
2024-10-25 16:36:29,661|line:489| 评论发送成功
2024-10-25 16:36:35,791|line:375| not all arguments converted during string formatting
2024-10-25 16:36:35,791|line:376| error line:370
2024-10-25 16:36:46,297|line:470| 转发成功 992291230981292035
2024-10-25 16:36:49,992|line:489| 评论发送成功
2024-10-25 16:36:53,819|line:375| not all arguments converted during string formatting
2024-10-25 16:36:53,819|line:376| error line:370
2024-10-25 16:37:03,346|line:470| 转发成功 992291304022999049
2024-10-25 16:37:06,921|line:489| 评论发送成功
2024-10-25 16:37:11,746|line:375| not all arguments converted during string formatting
2024-10-25 16:37:11,746|line:376| error line:370
2024-10-25 16:37:22,278|line:470| 转发成功 992291385595920385
2024-10-25 16:37:25,910|line:489| 评论发送成功
2024-10-25 16:37:30,752|line:375| not all arguments converted during string formatting
2024-10-25 16:37:30,752|line:376| error line:370
2024-10-25 16:37:43,366|line:470| 转发成功 992291475804913672
2024-10-25 16:37:46,953|line:489| 评论发送成功
2024-10-25 16:37:52,768|line:375| not all arguments converted during string formatting
2024-10-25 16:37:52,769|line:376| error line:370
2024-10-25 16:38:01,389|line:470| 转发成功 992291553103839234
2024-10-25 16:38:05,002|line:489| 评论发送成功
2024-10-25 16:38:11,030|line:375| not all arguments converted during string formatting
