2024-12-21 16:28:36,850|line:233| processing article 40161704
2024-12-21 16:28:42,469|line:503| ==================================================2024-12-22 00:28==================================================
2024-12-21 16:28:42,469|line:515| https://t.bilibili.com/1012477564395978761
2024-12-21 16:28:43,962|line:340| =========此为源动态=========
2024-12-21 16:28:48,708|line:359| *********子动态开始*********
2024-12-21 16:28:48,708|line:378| *********子动态结束*********
2024-12-21 16:28:48,709|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:29:00,500|line:471| 转发成功 1013441084463775745
2024-12-21 16:29:04,204|line:490| 评论发送成功
2024-12-21 16:29:07,806|line:207| 风控校验失败
2024-12-21 16:29:12,276|line:207| 风控校验失败
2024-12-21 16:29:13,774|line:207| 风控校验失败
2024-12-21 16:29:16,420|line:207| 风控校验失败
2024-12-21 16:29:17,994|line:207| 风控校验失败
2024-12-21 16:29:17,994|line:424| check接口被ban
2024-12-21 16:29:21,487|line:432| 关注 ==== 1024366005 已经关注用户，无法重复关注
2024-12-21 16:29:25,027|line:499| 动态-点赞 0
2024-12-21 16:29:29,028|line:515| https://t.bilibili.com/1012202720851918897
2024-12-21 16:29:33,522|line:340| =========此为源动态=========
2024-12-21 16:29:35,177|line:359| *********子动态开始*********
2024-12-21 16:29:35,177|line:378| *********子动态结束*********
2024-12-21 16:29:35,177|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:29:46,908|line:471| 转发成功 1013441282046951431
2024-12-21 16:29:50,544|line:490| 评论发送成功
2024-12-21 16:29:54,129|line:432| 关注 ==== 1024366005 已经关注用户，无法重复关注
2024-12-21 16:29:57,771|line:499| 动态-点赞 0
2024-12-21 16:29:58,772|line:515| https://t.bilibili.com/1012214918556942375
2024-12-21 16:30:01,211|line:340| =========此为源动态=========
2024-12-21 16:30:03,798|line:359| *********子动态开始*********
2024-12-21 16:30:03,799|line:378| *********子动态结束*********
2024-12-21 16:30:03,799|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:30:12,744|line:471| 转发成功 1013441393740218384
2024-12-21 16:30:16,273|line:490| 评论发送成功
2024-12-21 16:30:19,753|line:432| 关注 ==== 1567835994 已经关注用户，无法重复关注
2024-12-21 16:30:23,221|line:499| 动态-点赞 0
2024-12-21 16:30:24,221|line:515| https://t.bilibili.com/998440765151510535
2024-12-21 16:30:27,738|line:522| 官方 或 预约 OUT！
2024-12-21 16:30:27,738|line:515| https://t.bilibili.com/1012497523126829058
2024-12-21 16:30:31,244|line:340| =========此为源动态=========
2024-12-21 16:30:32,771|line:359| *********子动态开始*********
2024-12-21 16:30:32,771|line:378| *********子动态结束*********
2024-12-21 16:30:32,772|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:30:41,589|line:471| 转发成功 1013441518281687041
2024-12-21 16:30:45,351|line:490| 评论发送成功
2024-12-21 16:30:48,850|line:432| 关注 ==== 698926571 已经关注用户，无法重复关注
2024-12-21 16:30:52,321|line:499| 动态-点赞 0
2024-12-21 16:30:54,322|line:515| https://t.bilibili.com/1012583847679754261
2024-12-21 16:30:56,886|line:522| 官方 或 预约 OUT！
2024-12-21 16:30:56,887|line:515| https://t.bilibili.com/1011476368870866960
2024-12-21 16:31:00,394|line:335| =========此为子动态=========
2024-12-21 16:31:03,997|line:398| *************原动态已存在***************
2024-12-21 16:31:08,651|line:359| *********子动态开始*********
2024-12-21 16:31:18,334|line:471| 转发成功 1013441677172408325
2024-12-21 16:31:21,959|line:490| 评论发送成功
2024-12-21 16:31:28,937|line:432| 关注 ==== 1338030495 已经关注用户，无法重复关注
2024-12-21 16:31:28,937|line:373| ----完成一个子动态----
2024-12-21 16:31:38,542|line:471| 转发成功 1013441763066511383
2024-12-21 16:31:42,362|line:490| 评论发送成功
2024-12-21 16:31:50,301|line:432| 关注 ==== 493230543 已经关注用户，无法重复关注
2024-12-21 16:31:50,301|line:373| ----完成一个子动态----
2024-12-21 16:31:59,195|line:471| 转发成功 1013441853281796103
2024-12-21 16:32:02,826|line:490| 评论发送成功
2024-12-21 16:32:08,772|line:432| 关注 ==== 1494786563 已经关注用户，无法重复关注
2024-12-21 16:32:08,772|line:373| ----完成一个子动态----
2024-12-21 16:32:08,773|line:378| *********子动态结束*********
2024-12-21 16:32:12,773|line:515| https://t.bilibili.com/1011140365011386384
2024-12-21 16:32:17,340|line:522| 官方 或 预约 OUT！
2024-12-21 16:32:17,341|line:515| https://t.bilibili.com/1011887425147895811
2024-12-21 16:32:21,820|line:340| =========此为源动态=========
2024-12-21 16:32:25,525|line:359| *********子动态开始*********
2024-12-21 16:32:25,525|line:378| *********子动态结束*********
2024-12-21 16:32:25,525|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:32:35,384|line:471| 转发成功 1013442007893278742
2024-12-21 16:32:38,957|line:490| 评论发送成功
2024-12-21 16:32:42,445|line:432| 关注 ==== 432158620 已经关注用户，无法重复关注
2024-12-21 16:32:45,911|line:499| 动态-点赞 0
2024-12-21 16:32:47,912|line:515| https://t.bilibili.com/1012506143102074884
2024-12-21 16:32:51,500|line:340| =========此为源动态=========
2024-12-21 16:32:52,998|line:359| *********子动态开始*********
2024-12-21 16:33:01,395|line:378| *********子动态结束*********
2024-12-21 16:33:01,395|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:33:11,147|line:471| 转发成功 1013442158239154224
2024-12-21 16:33:14,768|line:490| 评论发送成功
2024-12-21 16:33:18,257|line:432| 关注 ==== 401480763 0
2024-12-21 16:33:21,723|line:499| 动态-点赞 0
2024-12-21 16:33:24,723|line:515| https://t.bilibili.com/1012590260071170066
2024-12-21 16:33:27,201|line:340| =========此为源动态=========
2024-12-21 16:33:28,756|line:359| *********子动态开始*********
2024-12-21 16:33:28,756|line:378| *********子动态结束*********
2024-12-21 16:33:28,757|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:33:37,482|line:471| 转发成功 1013442274208514054
2024-12-21 16:33:41,064|line:490| 评论发送成功
2024-12-21 16:33:44,602|line:432| 关注 ==== 102637603 已经关注用户，无法重复关注
2024-12-21 16:33:48,054|line:499| 动态-点赞 0
2024-12-21 16:33:49,054|line:515| https://t.bilibili.com/1012215030241820691
2024-12-21 16:33:53,681|line:340| =========此为源动态=========
2024-12-21 16:33:57,414|line:359| *********子动态开始*********
2024-12-21 16:33:57,414|line:378| *********子动态结束*********
2024-12-21 16:33:57,414|line:533| -=-=-=-=处理回最初的动态-=-=-=-=
2024-12-21 16:34:09,278|line:471| 转发成功 1013442411646418947
2024-12-21 16:34:12,979|line:490| 评论发送成功
2024-12-21 16:34:16,457|line:432| 关注 ==== 40488476 已经关注用户，无法重复关注
2024-12-21 16:34:19,927|line:499| 动态-点赞 0
2024-12-21 16:34:21,928|line:515| https://t.bilibili.com/1012310399973851175
2024-12-21 16:34:23,486|line:522| 官方 或 预约 OUT！
2024-12-21 16:34:23,486|line:515| https://t.bilibili.com/1012559387805351939
2024-12-21 16:34:24,989|line:335| =========此为子动态=========
2024-12-21 16:34:27,641|line:384| *************原动态处理开始***************
2024-12-21 16:34:34,787|line:471| 转发成功 1013442519008018489
2024-12-21 16:34:38,398|line:490| 评论发送成功
2024-12-21 16:34:41,973|line:432| 关注 ==== 502893941 已经关注用户，无法重复关注
2024-12-21 16:34:45,411|line:499| 动态-点赞 0
2024-12-21 16:34:45,411|line:394| *************原动态处理完成***************
2024-12-21 16:34:47,168|line:359| *********子动态开始*********
2024-12-21 16:34:55,858|line:471| 转发成功 1013442609192894486
2024-12-21 16:34:59,506|line:490| 评论发送成功
2024-12-21 16:35:07,445|line:432| 关注 ==== 626347730 已经关注用户，无法重复关注
2024-12-21 16:35:07,446|line:373| ----完成一个子动态----
2024-12-21 16:35:20,312|line:471| 转发成功 1013442716566028323
2024-12-21 16:35:23,943|line:490| 评论发送成功
2024-12-21 16:35:28,942|line:432| 关注 ==== 346469145 已经关注用户，无法重复关注
2024-12-21 16:35:28,942|line:373| ----完成一个子动态----
2024-12-21 16:35:35,813|line:471| 转发成功 1013442780980051973
2024-12-21 16:35:39,452|line:490| 评论发送成功
2024-12-21 16:35:46,381|line:432| 关注 ==== 601210376 已经关注用户，无法重复关注
2024-12-21 16:35:46,381|line:373| ----完成一个子动态----
2024-12-21 16:35:59,163|line:471| 转发成功 1013442879786319894
